Year,District,Wheat_Yield_t_ha,year,precipitation_flowering,precipitation_growth,precipitation_harvest,precipitation_sowing,LST_flowering,LST_growth,LST_harvest,LST_sowing
2001,Bankura,2.425,2001,0.7398214285714287,0.05604347826086956,1.5367419354838707,0.0006774193548387097,32.57785714285715,25.98652173913044,35.744290322580646,27.26574193548387
2002,Bankura,2.47,2002,0.6654642857142857,0.11699999999999999,0.7899354838709677,0.0,32.150178571428576,25.04491304347826,27.57232258064516,26.532258064516128
2003,Bankura,2.582,2003,1.8034999999999999,0.41558695652173905,1.1993548387096775,0.028548387096774194,29.98689285714286,20.78682608695652,33.15254838709678,25.759838709677418
2004,Bankura,2.688,2004,0.01786206896551724,0.25126086956521737,1.7091612903225808,0.0021935483870967744,32.673344827586206,23.64882608695652,35.589677419354835,26.526290322580646
2005,Bankura,2.648,2005,1.1886428571428571,0.37463043478260866,0.7019354838709677,0.021483870967741937,31.434571428571427,24.278608695652174,34.09777419354838,25.620806451612903
2006,Bankura,2.678,2006,0.6566428571428571,0.16165217391304348,0.9927741935483871,0.0011935483870967741,34.073750000000004,25.214934782608694,37.07732258064516,27.081806451612906
2007,Bankura,2.779,2007,0.5696428571428571,1.1432173913043477,0.5546451612903227,0.1175483870967742,28.997785714285715,23.577478260869565,35.71322580645161,26.28361290322581
2008,Bankura,2.729,2008,0.35993103448275865,0.2575217391304348,1.594483870967742,0.03312903225806451,0.0,2.0878260869565217,0.0,0.0
2009,Bankura,2.637,2009,0.5182857142857142,0.3905,0.8024516129032259,0.371258064516129,33.768,25.653304347826086,37.82964516129032,26.16690322580645
2010,Bankura,2.641,2010,0.5055714285714286,0.3195,0.6083225806451613,0.16751612903225804,32.69442857142857,24.25132608695652,38.48783870967742,26.94374193548387
2011,Bankura,2.529,2011,0.7170714285714287,0.03871739130434783,1.9886129032258066,0.1267741935483871,32.625928571428574,25.08178260869565,34.547548387096775,27.10077419354839
2012,Bankura,2.457,2012,0.23679310344827587,1.1598043478260869,3.0110967741935486,0.06758064516129032,30.658344827586205,23.223434782608695,34.25374193548387,25.83293548387097
2013,Bankura,2.415,2013,0.3459285714285714,0.21493478260869567,0.8019354838709677,0.0654516129032258,31.86507142857143,23.908,38.10354838709677,25.13890322580645
2014,Bankura,2.23,2014,1.2893928571428572,0.2876086956521739,0.03648387096774193,0.016580645161290323,27.739464285714288,24.745,37.03048387096774,26.39406451612903
2015,Bankura,2.167,2015,0.4470714285714286,0.08130434782608696,1.4352903225806453,0.04396774193548387,32.12192857142857,23.752347826086954,34.95238709677419,27.460774193548385
2016,Bankura,2.163,2016,1.2455172413793103,0.09371739130434782,0.6542258064516129,0.026870967741935488,26.536724137931035,25.290347826086958,37.671451612903226,26.33574193548387
2017,Bankura,2.092,2017,0.7933214285714286,0.08669565217391305,0.9657741935483871,0.6103870967741936,31.874714285714283,24.882608695652173,35.32229032258064,25.65838709677419
2018,Bankura,2.127,2018,0.0,0.4461086956521739,3.0501290322580643,0.2913225806451613,0.0,1.946521739130435,0.0,0.0
2019,Bankura,2.055,2019,2.178035714285714,0.0458695652173913,2.861258064516129,0.06090322580645162,29.222857142857144,23.559913043478264,33.27183870967742,26.263
2020,Bankura,2.038,2020,1.4782758620689658,0.3635434782608695,1.548967741935484,0.178,28.458241379310344,23.140652173913043,34.55106451612904,26.27267741935484
2021,Bankura,2.211,2021,0.6435714285714286,0.1068695652173913,0.34741935483870967,0.714258064516129,32.120464285714284,24.2295,35.724935483870965,24.658483870967743
2022,Bankura,2.172,2022,1.9644642857142858,0.14878260869565219,0.15451612903225806,0.016516129032258065,28.556,22.941586956521743,34.57190322580645,25.22848387096774
2023,Bankura,2.248,2023,0.1972857142857143,0.14345652173913043,1.6718709677419354,0.40535483870967737,31.253142857142855,23.746434782608695,32.315999999999995,23.973612903225806
2024,Bankura,2.245,2024,0.1453448275862069,0.38006521739130433,1.5644193548387098,0.05809677419354839,27.55103448275862,21.629521739130436,31.074516129032258,22.601935483870967
