Year,District,Wheat_Yield_t_ha,year,week_1_precip,week_1_LST,week_2_precip,week_2_LST,week_3_precip,week_3_LST,week_4_precip,week_4_LST,week_5_precip,week_5_LST,week_6_precip,week_6_LST,week_7_precip,week_7_LST,week_8_precip,week_8_LST,week_9_precip,week_9_LST,week_10_precip,week_10_LST,week_11_precip,week_11_LST,week_12_precip,week_12_LST,week_13_precip,week_13_LST,week_14_precip,week_14_LST,week_15_precip,week_15_LST,week_16_precip,week_16_LST,week_17_precip,week_17_LST,week_18_precip,week_18_LST,week_19_precip,week_19_LST,week_20_precip,week_20_LST,week_21_precip,week_21_LST,week_22_precip,week_22_LST,fortnight_1_precip,fortnight_1_LST,fortnight_2_precip,fortnight_2_LST,fortnight_3_precip,fortnight_3_LST,fortnight_4_precip,fortnight_4_LST,fortnight_5_precip,fortnight_5_LST,fortnight_6_precip,fortnight_6_LST,fortnight_7_precip,fortnight_7_LST,fortnight_8_precip,fortnight_8_LST,fortnight_9_precip,fortnight_9_LST,fortnight_10_precip,fortnight_10_LST,fortnight_11_precip,fortnight_11_LST
2001,Bankura,2.425,2001,0.0,30.205142857142857,0.0,29.35657142857143,0.0,26.55057142857143,0.0,26.438142857142857,0.0,26.376,0.0,24.857857142857142,0.009857142857142858,26.09457142857143,0.07285714285714286,23.449285714285715,0.0,24.941,0.0,27.294999999999998,0.46471428571428575,26.834285714285716,0.46642857142857147,28.688,0.0,30.297714285714285,0.0,31.36414285714286,0.0,33.52014285714286,2.959285714285715,29.98414285714286,0.0,34.668285714285716,0.0,37.46628571428572,2.7202857142857146,36.36571428571428,2.810142857142857,33.047714285714285,0.09485714285714286,36.36371428571429,1.6524,34.9918,0.0,29.780857142857144,0.0,26.494357142857144,0.0,25.61692857142857,0.041357142857142856,24.77192857142857,0.0,26.118,0.46557142857142864,27.761142857142858,0.0,30.83092857142857,1.4796428571428575,31.752142857142854,0.0,36.06728571428572,2.765214285714286,34.706714285714284,0.7438333333333333,35.79208333333333
2002,Bankura,2.47,2002,0.003,29.035714285714285,0.0,27.504571428571428,0.0,26.874571428571432,0.0,26.653285714285715,0.0,25.172857142857143,0.263,23.97142857142857,0.022571428571428572,23.216285714285714,0.0,23.467000000000002,0.0,24.798571428571428,0.6001428571428571,27.388142857142856,2.197142857142857,23.108571428571427,0.015571428571428571,25.258285714285712,0.1382857142857143,27.362142857142857,0.8521428571428571,30.11171428571428,0.4707142857142857,31.92457142857143,0.41185714285714287,32.186,1.5417142857142856,32.763714285714286,0.0004285714285714286,35.534285714285716,0.8295714285714286,8.25,1.022,29.871857142857145,0.16385714285714284,34.412142857142854,2.0759999999999996,32.692,0.0015,28.270142857142854,0.0,26.763928571428572,0.1315,24.572142857142858,0.011285714285714286,23.34164285714286,0.30007142857142854,26.093357142857144,1.1063571428571428,24.18342857142857,0.4952142857142857,28.73692857142857,0.4412857142857143,32.055285714285716,0.7710714285714285,34.149,0.9257857142857143,19.060928571428573,0.9605833333333332,33.69541666666667
2003,Bankura,2.582,2003,0.0,27.376285714285718,0.0,27.35657142857143,0.0,26.379142857142856,0.0,25.960714285714285,0.0,25.48542857142857,0.0,24.8,0.0,23.43657142857143,0.0,21.924714285714288,1.3905714285714283,20.023285714285716,0.0,23.901999999999997,0.0,25.12385714285714,0.8174285714285715,26.300285714285714,0.08499999999999999,27.181857142857144,1.0374285714285714,26.558857142857143,0.0,30.448428571428572,0.0,31.305285714285713,5.835714285714286,31.198,2.498285714285714,30.480142857142855,0.13557142857142856,32.525285714285715,0.0,32.53557142857143,2.7961428571428573,34.16457142857143,0.31120000000000003,35.5396,0.0,27.36642857142857,0.0,26.169928571428574,0.0,25.142714285714284,0.0,22.680642857142857,0.6952857142857142,21.962642857142857,0.40871428571428575,25.712071428571427,0.5612142857142858,26.87035714285714,0.0,30.876857142857144,4.167,30.83907142857143,0.06778571428571428,32.53042857142857,1.76075,34.737500000000004
2004,Bankura,2.688,2004,0.004571428571428572,27.358285714285717,0.0004285714285714286,26.208142857142857,0.0,25.11657142857143,0.0,25.212142857142858,0.5207142857142857,15.851285714285714,0.02742857142857143,13.300857142857142,0.011285714285714286,20.199571428571428,0.0,20.34457142857143,0.0,22.67742857142857,0.9165714285714286,24.640285714285714,0.07142857142857142,24.378999999999998,2.004714285714286,24.158142857142856,0.02142857142857143,27.38842857142857,0.08099999999999999,28.722,0.001,31.324857142857145,0.0,34.93042857142857,0.04428571428571428,32.982285714285716,0.0,35.82785714285715,0.0,38.67971428571428,3.6137142857142854,33.91171428571429,3.955428571428571,33.178714285714285,0.0,37.07183333333333,0.0025,26.783214285714283,0.0,25.164357142857142,0.2740714285714286,14.576071428571428,0.005642857142857143,20.27207142857143,0.4582857142857143,23.65885714285714,1.0380714285714288,24.268571428571427,0.05121428571428572,28.05521428571429,0.0005,33.12764285714285,0.02214285714285714,34.405071428571425,1.8068571428571427,36.29571428571428,2.1298461538461537,34.975538461538456
2005,Bankura,2.648,2005,0.009714285714285715,27.176142857142857,0.0,27.300428571428572,0.0,26.503714285714288,0.0,26.008000000000003,0.0,23.912857142857142,0.0,24.353714285714286,0.0,22.075714285714287,0.0,21.923714285714286,0.0032857142857142855,23.29214285714286,0.5795714285714286,21.835857142857144,3.244285714285714,22.212285714285713,0.5652857142857143,23.488714285714284,1.8989999999999998,28.907714285714285,0.774,29.833714285714287,0.112,28.611142857142855,0.0,34.26971428571429,3.8685714285714288,32.292142857142856,0.7929999999999999,34.04757142857143,0.06285714285714286,33.37785714285714,1.5005714285714284,32.815000000000005,0.6642857142857144,36.00214285714286,0.123,34.1536,0.004857142857142858,27.238285714285716,0.0,26.255857142857142,0.0,24.133285714285712,0.0,21.999714285714283,0.2914285714285714,22.564,1.9047857142857143,22.8505,1.3364999999999998,29.370714285714286,0.056,31.440428571428573,2.3307857142857142,33.16985714285714,0.7817142857142857,33.096428571428575,0.43875000000000003,35.23191666666667
2006,Bankura,2.678,2006,0.017714285714285714,26.93857142857143,0.07742857142857143,25.498142857142856,0.0,26.245571428571427,0.0,24.64542857142857,0.0,24.08385714285714,0.0,23.51057142857143,0.0,22.291428571428572,0.009428571428571429,20.836142857142857,0.0,23.775142857142857,0.0,27.202857142857145,0.5051428571428571,25.062,0.8052857142857144,27.624571428571432,0.4574285714285714,28.138571428571428,0.8008571428571428,32.80142857142857,0.09671428571428572,35.838857142857144,0.061,32.207,1.9632857142857143,34.34142857142857,0.0,35.69114285714286,0.0,39.189,0.0,37.311,1.4035714285714285,38.09285714285714,4.1902,33.861399999999996,0.04757142857142858,26.218357142857144,0.0,25.445500000000003,0.0,23.797214285714286,0.004714285714285714,21.563785714285718,0.0,25.489,0.6552142857142857,26.343285714285713,0.6291428571428571,30.47,0.07885714285714286,34.02292857142857,0.9816428571428572,35.016285714285715,0.0,38.25,2.5646666666666667,36.32975
2007,Bankura,2.779,2007,0.005285714285714285,28.88357142857143,0.0,27.589142857142857,0.0,26.168857142857146,0.0,26.719428571428573,0.0,24.534285714285716,0.0,25.423571428571428,0.0,24.227,0.0,23.77185714285714,0.0,21.34714285714286,0.0,23.036,0.5399999999999999,25.698,0.5325714285714286,27.395285714285713,7.5125714285714285,22.226714285714284,0.0,25.740714285714287,0.0,29.628999999999998,0.7592857142857143,27.705857142857145,1.4114285714285713,31.30185714285714,0.11271428571428573,31.28971428571429,0.028857142857142856,35.82414285714286,0.0,37.454,0.9517142857142857,38.04042857142857,2.0592,33.7654,0.0026428571428571425,28.236357142857145,0.0,26.444142857142857,0.0,24.978928571428572,0.0,23.999428571428574,0.0,22.19157142857143,0.5362857142857143,26.54664285714286,3.7562857142857142,23.983714285714285,0.37964285714285717,28.66742857142857,0.7620714285714285,31.29578571428571,0.014428571428571428,36.63907142857143,1.4131666666666665,36.259166666666665
2008,Bankura,2.729,2008,0.3732857142857143,26.231285714285715,0.0,28.213142857142856,0.1472857142857143,25.895714285714288,0.0,25.27557142857143,0.0,24.401,0.0,23.041,0.0,23.591714285714286,0.0,0.0,0.0,0.0,0.09985714285714285,0.0,2.528142857142857,0.0,0.264,0.0,1.4278571428571427,0.0,0.5508571428571428,0.0,0.0,0.0,0.0,0.0,0.9197142857142858,0.0,0.025857142857142856,0.0,0.03457142857142857,0.0,0.9542857142857144,0.0,4.220142857142857,0.0,2.154833333333333,0.0,0.18664285714285714,27.222214285714283,0.07364285714285715,25.585642857142858,0.0,23.721,0.0,11.795857142857143,0.049928571428571426,0.0,1.3960714285714284,0.0,0.9893571428571428,0.0,0.0,0.0,0.4727857142857143,0.0,0.4944285714285715,0.0,3.266923076923077,0.0
2009,Bankura,2.637,2009,0.031857142857142855,0.0,0.11485714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004285714285714286,0.0,0.0,14.016142857142857,1.2384285714285714,22.679142857142857,0.0,25.608714285714285,0.0,26.180285714285713,0.0,27.558142857142858,0.15285714285714283,27.873142857142856,0.7659999999999999,29.263142857142856,0.5045714285714286,31.64428571428571,0.02242857142857143,34.40828571428572,0.0,34.588857142857144,1.7418571428571428,33.93785714285714,0.30428571428571427,34.553714285714285,0.025,35.648714285714284,2.7254285714285715,37.78671428571429,0.7138571428571429,39.33,0.0,41.565999999999995,0.07335714285714286,0.0,0.0,0.0,0.0002142857142857143,0.0,0.6192142857142857,18.34764285714286,0.0,25.8945,0.07642857142857142,27.715642857142857,0.6352857142857143,30.453714285714284,0.011214285714285715,34.49857142857143,1.0230714285714286,34.24578571428571,1.3752142857142857,36.71771428571429,0.41641666666666666,40.26166666666666
2010,Bankura,2.641,2010,1.6441428571428571,28.31142857142857,0.0,25.17942857142857,0.0,25.27542857142857,0.0,25.921285714285716,0.0,26.127000000000002,0.0,23.64442857142857,0.0,22.540142857142857,0.0,22.692714285714285,0.5432857142857143,22.797285714285714,0.0,23.118428571428574,0.12,26.91,0.24828571428571428,27.70057142857143,1.368285714285714,24.848142857142857,1.8814285714285712,26.675428571428572,0.326,29.964428571428574,0.00014285714285714287,36.87728571428572,0.0027142857142857142,35.56171428571428,2.6391428571428572,36.11571428571428,0.0037142857142857147,38.40985714285715,0.0005714285714285715,38.394285714285715,0.0012857142857142856,39.57814285714286,0.06899999999999999,39.315,0.8220714285714286,26.74542857142857,0.0,25.598357142857143,0.0,24.885714285714283,0.0,22.61642857142857,0.27164285714285713,22.95785714285714,0.18414285714285714,27.305285714285713,1.6248571428571428,25.761785714285715,0.1630714285714286,33.420857142857145,1.3209285714285712,35.83871428571429,0.002142857142857143,38.40207142857143,0.0295,39.4685
