Year,District,Rice_Yield_t_ha,year,week_1_precip,week_1_LST,week_2_precip,week_2_LST,week_3_precip,week_3_LST,week_4_precip,week_4_LST,week_5_precip,week_5_LST,week_6_precip,week_6_LST,week_7_precip,week_7_LST,week_8_precip,week_8_LST,week_9_precip,week_9_LST,week_10_precip,week_10_LST,week_11_precip,week_11_LST,week_12_precip,week_12_LST,week_13_precip,week_13_LST,week_14_precip,week_14_LST,week_15_precip,week_15_LST,week_16_precip,week_16_LST,week_17_precip,week_17_LST,week_18_precip,week_18_LST,week_19_precip,week_19_LST,week_20_precip,week_20_LST,week_21_precip,week_21_LST,week_22_precip,week_22_LST,fortnight_1_precip,fortnight_1_LST,fortnight_2_precip,fortnight_2_LST,fortnight_3_precip,fortnight_3_LST,fortnight_4_precip,fortnight_4_LST,fortnight_5_precip,fortnight_5_LST,fortnight_6_precip,fortnight_6_LST,fortnight_7_precip,fortnight_7_LST,fortnight_8_precip,fortnight_8_LST,fortnight_9_precip,fortnight_9_LST,fortnight_10_precip,fortnight_10_LST,fortnight_11_precip,fortnight_11_LST
2001,Purba Medinipur,2.85,2001,0.0,27.849999999999998,2.5525714285714285,27.934142857142856,0.09985714285714287,24.850142857142856,0.0,25.526714285714288,0.0,24.148285714285716,0.0,24.173000000000002,0.0,24.615000000000002,0.0,22.679857142857145,0.0,23.102285714285717,0.0,25.338428571428572,0.5595714285714285,23.053285714285714,0.5592857142857143,26.665142857142857,0.0,28.567714285714285,0.10214285714285713,28.93914285714286,1.4947142857142857,30.221714285714285,1.9088571428571426,28.033714285714286,0.0,32.01828571428571,0.0,33.24628571428571,2.905142857142857,30.991285714285716,3.4801428571428574,30.771142857142856,0.5365714285714286,34.61542857142857,0.6003999999999999,33.7004,1.2762857142857142,27.892071428571427,0.04992857142857143,25.18842857142857,0.0,24.160642857142857,0.0,23.647428571428573,0.0,24.220357142857143,0.5594285714285714,24.859214285714284,0.051071428571428566,28.75342857142857,1.7017857142857142,29.127714285714287,0.0,32.632285714285715,3.1926428571428573,30.881214285714286,0.5631666666666667,34.23416666666667
2002,Purba Medinipur,2.91,2002,0.0,27.665,0.0,27.49742857142857,0.0,26.02342857142857,0.0,26.325714285714287,0.00014285714285714287,23.662857142857145,0.2895714285714286,22.522428571428573,0.0,22.74614285714286,0.0,21.979000000000003,0.0,24.23314285714286,0.47785714285714287,26.61514285714286,2.2074285714285713,23.490714285714287,0.192,24.09614285714286,0.7384285714285715,25.56742857142857,0.3742857142857143,27.668857142857142,0.0802857142857143,29.566714285714284,0.3404285714285714,29.035714285714285,0.8881428571428571,29.944,0.4438571428571429,32.627857142857145,2.2622857142857145,4.991428571428571,2.2058571428571425,32.704142857142855,0.4387142857142857,31.329,1.3398,28.2536,0.0,27.581214285714285,0.0,26.17457142857143,0.14485714285714285,23.09264285714286,0.0,22.36257142857143,0.23892857142857143,25.424142857142858,1.1997142857142857,23.79342857142857,0.5563571428571429,26.618142857142857,0.21035714285714288,29.301214285714284,0.666,31.28592857142857,2.2340714285714287,18.847785714285717,0.8141666666666666,30.047583333333336
2003,Purba Medinipur,3.02,2003,0.0,25.943714285714286,0.08028571428571428,25.253999999999998,0.0,25.848000000000003,0.05928571428571429,23.836857142857145,0.0,24.904285714285713,0.0,24.239857142857144,0.4412857142857143,21.968857142857143,0.0,21.113142857142858,0.38085714285714284,18.947142857142858,0.0,22.35342857142857,0.43871428571428567,24.316714285714284,0.3647142857142857,25.508714285714287,0.49657142857142855,26.56742857142857,0.6912857142857144,27.100428571428573,0.027,27.888857142857145,0.0,28.98957142857143,6.362857142857143,28.081142857142854,0.45285714285714285,27.516,0.35714285714285715,29.92442857142857,0.6714285714285715,30.061714285714285,1.4765714285714286,30.356142857142856,0.8954000000000001,29.3812,0.04014285714285714,25.598857142857145,0.029642857142857144,24.84242857142857,0.0,24.57207142857143,0.22064285714285714,21.541,0.19042857142857142,20.65028571428571,0.40171428571428575,24.912714285714287,0.5939285714285714,26.833928571428572,0.0135,28.439214285714286,3.407857142857143,27.798571428571428,0.5142857142857143,29.99307142857143,1.2344166666666665,29.949916666666667
2004,Purba Medinipur,3.15,2004,0.0,26.87114285714286,0.00028571428571428574,25.338857142857144,0.0,24.68642857142857,0.013428571428571429,23.98442857142857,0.9007142857142857,15.81242857142857,0.0,13.142142857142858,0.0,21.11542857142857,0.00028571428571428574,19.66542857142857,0.0,22.782999999999998,0.0,23.308285714285716,0.281,23.551714285714286,2.3545714285714285,24.327285714285715,0.0,25.490714285714287,0.0071428571428571435,27.784,0.0,29.528,0.0,31.603714285714286,1.0942857142857143,28.761857142857142,0.0,32.78328571428572,0.0,32.61142857142857,2.4397142857142855,30.584857142857143,2.503142857142857,29.457714285714285,0.49466666666666664,32.348333333333336,0.00014285714285714287,26.105,0.006714285714285714,24.335428571428572,0.45035714285714284,14.477285714285713,0.00014285714285714287,20.390428571428572,0.0,23.04564285714286,1.3177857142857141,23.939500000000002,0.0035714285714285718,26.637357142857145,0.0,30.56585714285714,0.5471428571428572,30.772571428571432,1.2198571428571428,31.598142857142857,1.5761538461538462,30.79184615384615
2005,Purba Medinipur,3.21,2005,0.0,26.687571428571427,0.6297142857142858,26.496285714285712,0.0,26.278428571428574,0.0,25.825857142857142,0.0,24.47942857142857,0.0,24.571857142857144,0.038142857142857145,22.94457142857143,0.0,23.791714285714285,0.6128571428571429,22.214142857142857,0.026571428571428572,23.30442857142857,2.055857142857143,22.373285714285714,0.5455714285714286,24.11042857142857,0.20142857142857143,28.32542857142857,1.0682857142857143,28.214142857142857,0.0,28.565428571428573,0.096,31.223714285714287,2.5624285714285713,30.004142857142856,0.8408571428571429,29.822714285714284,1.9004285714285716,30.025714285714287,1.6761428571428572,29.041714285714285,0.4258571428571428,30.479285714285716,0.41580000000000006,31.372200000000003,0.3148571428571429,26.59192857142857,0.0,26.052142857142858,0.0,24.525642857142856,0.019071428571428573,23.368142857142857,0.31971428571428573,22.759285714285713,1.3007142857142857,23.241857142857146,0.6348571428571429,28.269785714285714,0.048,29.894571428571428,1.7016428571428572,29.91342857142857,1.7882857142857145,29.533714285714286,0.4216666666666667,30.851333333333333
2006,Purba Medinipur,3.28,2006,0.0,25.05257142857143,0.02457142857142857,24.794,0.0,23.847285714285714,0.0,23.976857142857142,0.0,21.728857142857144,0.0,23.504714285714282,0.0,22.745714285714286,0.351,19.10257142857143,0.152,23.312,0.0,26.259142857142855,0.3947142857142857,23.816,0.7451428571428572,25.510428571428573,0.48057142857142854,27.013571428571428,0.4492857142857143,29.75357142857143,0.076,32.67314285714286,0.8581428571428571,28.358,0.5514285714285714,30.14157142857143,0.14971428571428572,31.294285714285714,0.0,34.216142857142856,0.0041428571428571434,31.83985714285714,1.2141428571428572,30.187142857142856,3.0797999999999996,33.2078,0.012285714285714285,24.923285714285715,0.0,23.91207142857143,0.0,22.616785714285715,0.1755,20.924142857142858,0.076,24.785571428571426,0.5699285714285715,24.663214285714286,0.46492857142857147,28.38357142857143,0.4670714285714285,30.51557142857143,0.35057142857142853,30.71792857142857,0.0020714285714285717,33.028,1.9915,31.44575
2007,Purba Medinipur,3.35,2007,0.25057142857142856,26.590142857142858,0.0,27.582285714285714,0.0,25.434428571428572,0.0,27.218714285714288,0.0,23.779428571428575,0.0,24.957285714285714,0.0,23.772571428571432,0.0,22.732,1.0585714285714285,22.920714285714286,0.15742857142857145,21.938142857142857,0.0,24.336714285714287,1.0912857142857142,25.60942857142857,4.552714285714286,25.294714285714285,0.22914285714285715,24.544142857142855,0.0,27.344142857142856,0.5697142857142857,27.893285714285714,0.6241428571428571,29.13714285714286,0.19885714285714284,29.413285714285713,1.6365714285714286,31.64942857142857,0.0,32.81557142857143,1.8995714285714287,30.17957142857143,1.024,29.304000000000002,0.12528571428571428,27.086214285714284,0.0,26.32657142857143,0.0,24.368357142857143,0.0,23.252285714285712,0.608,22.42942857142857,0.5456428571428571,24.973071428571426,2.3909285714285713,24.919428571428572,0.28485714285714286,27.618714285714283,0.41150000000000003,29.275214285714288,0.8182857142857143,32.2325,1.53475,29.81475
2008,Purba Medinipur,3.31,2008,3.713285714285714,26.215,0.0,27.360714285714288,0.3481428571428572,23.810142857142857,0.0,24.608285714285717,0.0,22.678714285714285,0.0,22.99542857142857,0.0,22.416857142857143,0.0,0.0,0.0,0.0,0.0,0.0,2.444857142857143,0.0,0.1362857142857143,0.0,1.0792857142857142,0.0,1.3528571428571428,0.0,0.0014285714285714286,0.0,0.02214285714285714,0.0,0.0,0.0,0.0,0.0,1.0545714285714285,0.0,1.135,0.0,3.0972857142857144,0.0,3.0228333333333333,0.0,1.856642857142857,26.787857142857142,0.1740714285714286,24.209214285714285,0.0,22.837071428571427,0.0,11.208428571428572,0.0,0.0,1.2905714285714287,0.0,1.2160714285714285,0.0,0.011785714285714287,0.0,0.0,0.0,1.0947857142857143,0.0,3.062923076923077,0.0
2009,Purba Medinipur,3.22,2009,0.23557142857142857,0.0,0.0017142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.933285714285715,1.135,23.72357142857143,0.0,24.079571428571427,0.0,25.422285714285714,0.0,26.23,0.9098571428571429,25.098285714285712,0.3131428571428571,26.369857142857143,0.1867142857142857,28.164714285714286,0.12942857142857142,30.09842857142857,0.0,30.187571428571427,0.044571428571428574,29.750714285714285,0.8827142857142858,29.258714285714287,0.015714285714285715,31.442714285714285,3.858571428571429,31.554285714285715,0.045714285714285714,32.70457142857143,0.0,35.004200000000004,0.11864285714285715,0.0,0.0,0.0,0.0,0.0,0.5675,18.32842857142857,0.0,24.75092857142857,0.45492857142857146,25.664142857142856,0.24992857142857142,27.267285714285716,0.06471428571428571,30.143,0.4636428571428572,29.50471428571429,1.9371428571428573,31.4985,0.02666666666666667,33.662749999999996
2010,Purba Medinipur,3.27,2010,6.2377142857142855,27.136142857142858,0.0,24.670142857142856,0.0,25.884142857142855,0.0,24.98857142857143,0.0,26.050857142857144,0.0014285714285714286,23.73414285714286,0.0,22.649142857142856,0.0,22.111285714285714,0.3872857142857143,21.78957142857143,0.008428571428571428,21.976285714285716,0.2884285714285714,24.855,0.4202857142857143,26.177714285714284,0.16371428571428573,26.076285714285714,1.1715714285714287,25.043142857142858,1.1135714285714287,28.413857142857143,0.0,31.494,1.127,29.564714285714285,2.450142857142857,31.974857142857143,0.7627142857142858,32.62171428571428,0.0,31.845571428571425,0.23171428571428573,31.843,0.45920000000000005,31.4794,3.1188571428571428,25.903142857142857,0.0,25.43635714285714,0.0007142857142857143,24.892500000000002,0.0,22.380214285714285,0.19785714285714287,21.88292857142857,0.35435714285714287,25.516357142857142,0.6676428571428571,25.559714285714286,0.5567857142857143,29.953928571428573,1.7885714285714285,30.769785714285714,0.3813571428571429,32.23364285714286,0.3265,31.6915
